original_price,age,condition,brand_tier,resale_price
325787,1,2,3,221990.19
42405,6,5,2,4252.43
22836,1,2,2,15323.9
51730,2,3,2,25985.89
10561,2,2,1,3576.75
12092,6,1,1,1222.59
304141,7,4,3,31382.85
73225,8,1,2,7536.52
18740,8,1,1,1832.49
27581,4,5,2,5488.44
43903,6,3,2,4306.97
17995,0,5,1,17846.71
65043,0,4,2,63761.84
7075,4,4,1,707.98
14889,3,3,1,2319.31
13434,2,2,1,4642.89
229076,5,4,3,47674.82
198650,5,2,3,19434.74
116331,6,4,3,11517.07
70322,7,2,2,7363.44
399111,3,3,3,174756.68
69247,2,5,2,42931.88
15961,7,2,1,1524.91
10854,9,4,1,1098.77
226948,8,3,3,22229.33
62811,5,1,2,6198.87
412244,7,4,3,43028.86
46850,0,4,2,42641.73
13470,2,1,1,4116.78
138490,1,2,3,93097.68
53074,1,3,2,37001.82
71347,3,1,2,13606.67
13485,7,1,1,1296.79
8779,4,4,1,885.53
66859,10,3,2,6934.65
8717,5,4,1,878.68
6273,5,3,1,611.5
333900,9,3,3,34558.43
233723,7,4,3,24358.23
351822,3,1,3,127142.6
14954,1,3,1,10122.96
77854,8,4,2,7396.47
51335,0,4,2,48073.34
8045,3,5,1,1962.49
70711,7,5,2,7150.78
40042,0,5,2,39505.64
21274,9,2,2,2117.15
268882,7,1,3,25661.95
12222,3,5,1,3033.09
68409,1,2,2,45607.77
253545,8,2,3,25228.84
5726,10,1,1,576.61
424371,9,1,3,41527.68
26545,4,5,2,5303.28
108230,6,2,3,11052.56
34157,5,1,2,3519.89
136685,4,2,3,34830.44
66308,1,5,2,52892.24
10990,4,1,1,1130.6
296275,0,3,3,264123.13
11448,10,5,1,1157.88
218868,5,5,3,54263.13
40412,1,4,2,29698.95
38575,2,5,2,22244.92
373137,1,5,3,313236.47
146219,6,2,3,14501.02
260018,5,1,3,25618.86
62701,0,3,2,58437.5
10545,5,2,1,1035.43
459011,8,3,3,44073.71
14679,7,2,1,1491.59
35465,2,4,2,18564.58
14504,4,2,1,1439.21
6299,4,1,1,652.78
39069,6,5,2,3810.54
68751,7,3,2,6594.95
